id;hora_inicio;hora_fim;dia_inteiro;ativo;tarefa_ordem_servico_execucao_id
1;2024-08-12T09:28:15;2024-08-12T12:45:35;true;false;1
2;2024-08-12T06:41:16;2024-08-12T23:23:31;false;false;2
3;2024-08-12T06:01:36;2024-08-12T19:07:43;true;false;3
4;2024-08-13T02:09:07;2024-08-12T16:21:01;false;false;4
5;2024-08-12T07:02:21;2024-08-12T20:31:45;true;true;5
6;2024-08-12T20:39:32;2024-08-12T09:23:34;true;false;6
7;2024-08-12T08:10:34;2024-08-12T20:25:47;true;true;7
8;2024-08-12T17:13:56;2024-08-12T05:30:07;false;true;8
9;2024-08-13T01:07:43;2024-08-12T21:57:47;true;true;9
10;2024-08-12T17:20:42;2024-08-13T00:59:18;false;true;10
