id;ativo;hora_inicio;hora_fim;dia_inteiro;comentario;tarefa_recorrente_execucao_id
1;true;2024-08-12T20:48:17;2024-08-12T22:11:48;true;boo till so;1
2;true;2024-08-12T13:11:08;2024-08-12T06:33:47;true;wherever forestry functional;2
3;false;2024-08-12T17:17:52;2024-08-12T13:02:37;true;fabulous;3
4;true;2024-08-12T16:56:47;2024-08-12T20:32:26;false;parallel;4
5;false;2024-08-13T02:13:13;2024-08-12T19:52:37;true;although ew blue;5
6;false;2024-08-12T08:31:20;2024-08-12T05:40:19;false;victorious novel;6
7;false;2024-08-13T01:37:29;2024-08-13T04:25:11;true;patrolling;7
8;true;2024-08-13T02:50:53;2024-08-12T14:45:41;false;several professionalise;8
9;true;2024-08-12T08:24:42;2024-08-12T12:16:54;false;supposing briefly;9
10;false;2024-08-12T11:05:53;2024-08-13T02:38:39;true;incidentally;10
