id;url_anexo;tipo;descricao;empresa_id
1;../fake-data/blob/hipster.txt;cliff firm dungeon;../fake-data/blob/hipster.txt;1
2;../fake-data/blob/hipster.txt;yahoo;../fake-data/blob/hipster.txt;2
3;../fake-data/blob/hipster.txt;shakily regarding until;../fake-data/blob/hipster.txt;3
4;../fake-data/blob/hipster.txt;swiftly;../fake-data/blob/hipster.txt;4
5;../fake-data/blob/hipster.txt;paw handmaiden;../fake-data/blob/hipster.txt;5
6;../fake-data/blob/hipster.txt;till;../fake-data/blob/hipster.txt;6
7;../fake-data/blob/hipster.txt;wherever;../fake-data/blob/hipster.txt;7
8;../fake-data/blob/hipster.txt;at;../fake-data/blob/hipster.txt;8
9;../fake-data/blob/hipster.txt;flickering sin;../fake-data/blob/hipster.txt;9
10;../fake-data/blob/hipster.txt;what befog;../fake-data/blob/hipster.txt;10
