id;url;descricao;data_hora_upload;tarefa_recorrente_execucao_id
1;https://reliable-pagoda.br/;charity;2024-08-12T16:28:29;1
2;https://eminent-overflight.biz;accident imagination travel;2024-08-12T16:05:18;2
3;https://deep-duplexer.br/;truthfully;2024-08-13T01:06:15;3
4;https://sturdy-landform.br;geez yuck cheerfully;2024-08-12T23:40:19;4
5;https://naughty-flan.biz/;suddenly;2024-08-12T05:32:11;5
6;https://terrific-sled.name/;fruitful swat;2024-08-12T22:53:35;6
7;https://spanish-bandana.net/;after;2024-08-12T06:25:35;7
8;https://difficult-listing.org;ball;2024-08-12T16:31:26;8
9;https://delirious-gerbil.org;soul yum;2024-08-12T14:35:35;9
10;https://old-resolve.name;well-to-do;2024-08-13T03:26:12;10
