id;ativo;data_atribuicao;data_revogacao;area_contabil_id;assinatura_empresa_id;contador_id
1;true;2024-08-13T04:04:59;2024-08-12T07:15:36;1;1;1
2;true;2024-08-12T21:47:05;2024-08-12T17:52:19;2;2;2
3;false;2024-08-12T15:19:51;2024-08-13T04:20:54;3;3;3
4;true;2024-08-12T19:07:38;2024-08-12T08:43:29;4;4;4
5;false;2024-08-12T12:27:02;2024-08-12T19:22:29;5;5;5
6;true;2024-08-12T12:16:59;2024-08-12T21:59:57;6;6;6
7;false;2024-08-12T11:00:42;2024-08-12T22:46:49;7;7;7
8;true;2024-08-13T00:53:27;2024-08-13T01:26:08;8;8;8
9;true;2024-08-12T20:21:05;2024-08-12T20:14:03;9;9;9
10;false;2024-08-12T23:43:42;2024-08-12T12:10:30;10;10;10
