id;percentual_experiencia;descricao_experiencia;pontuacao_entrevista;pontuacao_avaliacao;area_contabil_id;contador_id
1;24643.96;near;22946.12;733.48;1;1
2;26837.39;duh dignify boohoo;26688.11;11489.9;2;2
3;26214.49;whenever;24300.15;16135.9;3;3
4;11068.72;towards crowded;9215.36;23142.39;4;4
5;1047.71;towards;2670.23;4862.47;5;5
6;1816.09;up reputation famous;2637.77;2205.36;6;6
7;1525;pigsty lobotomize helpfully;1842.38;14966.3;7;7
8;28092.88;but neatly;24580.31;19189.76;8;8
9;23550.73;sometimes voluntarily;11013.54;21828.15;9;9
10;30421.97;successfully finally indeed;11352.44;12489.2;10;10
