id;razao_social;codigo_assinatura;valor_enquadramento;valor_tributacao;valor_ramo;valor_funcionarios;valor_socios;valor_faturamento;valor_plano_contabil;valor_plano_contabil_com_desconto;valor_plano_conta_azul_com_desconto;valor_mensalidade;valor_periodo;valor_ano;data_contratacao;data_encerramento;dia_vencimento;situacao;tipo_contrato;periodo_pagamento_id;forma_de_pagamento_id;empresa_id
1;hovercraft floss consequently;advancement cilantro;6347.89;1296.3;1527.74;2809.98;17304.64;4102.04;7096.02;3709.3;406.17;31153;7.22;15648.7;2024-08-28T14:51:24;2024-08-28T16:35:05;23221;ATIVO;CONTRATACAO_PLANO;1;1;1
2;aha;brr herb softly;13808.1;7327.14;3168.71;28823.63;975.85;26683.9;30560.22;10268.35;13260.57;21787.51;12494.25;13737.1;2024-08-28T15:02:46;2024-08-27T20:06:03;24050;PROPOSTA;ABERTURA_EMPRESA;2;2;2
3;but forenenst;cluster anchor;3270.16;27040.91;3853.75;24283.24;12057.25;2889.52;11759.29;2838.1;32621.81;11945.77;22005.24;6344.34;2024-08-27T23:28:10;2024-08-28T15:53:50;7481;INATIVO;ABERTURA_EMPRESA;3;3;3
4;after;airlift past;20687.2;2988.61;21092.87;25319.86;5113.88;17407.5;2993.46;18604.48;11768;7454.55;21718.74;23088.74;2024-08-28T07:28:23;2024-08-27T21:09:04;21952;EXCLUIDO;CONTRATACAO_PLANO;4;4;4
5;blah;who yahoo;3516.69;5143.86;27589.83;11181.23;11546.48;3314.46;10083.3;10673.55;22889.21;32107.02;5262.68;16254.28;2024-08-28T19:26:23;2024-08-28T15:05:04;19154;PROPOSTA;ABERTURA_EMPRESA;5;5;5
6;aid outclass alongside;er oh forenenst;11167.66;13014.16;15807.59;3283.75;7104.76;9634.26;28401.13;29361.86;18357.75;32473.64;2421.2;31899.08;2024-08-27T22:27:34;2024-08-28T06:15:35;8390;INATIVO;CONTRATACAO_PLANO;6;6;6
7;more ugh;cheery opera;5057.13;11084.14;18971.05;5127;30905.39;32116.74;3183.42;6662.84;348.1;27305.18;15245.41;28917.64;2024-08-28T00:54:32;2024-08-28T08:33:31;9014;BLOQUEADO;CONTRATACAO_PLANO;7;7;7
8;plane offensively;nor swiftly;19477.04;11250.68;11478.76;32436.69;9201.82;4270.66;12708.79;29074.75;1576.08;18454.31;10931.82;5083.27;2024-08-28T06:20:06;2024-08-28T15:52:32;308;INATIVO;ABERTURA_EMPRESA;8;8;8
9;next;wrathful scared passage;5787.73;32481.72;18029.17;8189.44;3893.33;14992;22454.44;21196.79;22777.24;4817.7;27927.67;15403.49;2024-08-27T22:51:48;2024-08-28T05:05:11;17946;EXCLUIDO;ABERTURA_EMPRESA;9;9;9
10;ouch;inspection with;14369.02;11456.23;6241.38;26156.59;29814.07;24874.23;32437.92;26241.85;491.13;23665.86;2650.39;16767.11;2024-08-28T11:28:17;2024-08-28T17:52:11;8042;CANCELADO;CONTRATACAO_PLANO;10;10;10
