id;codigo_atendimento;valor_enquadramento;valor_tributacao;valor_ramo;valor_funcionarios;valor_socios;valor_faturamento;valor_plano_contabil;valor_plano_contabil_com_desconto;valor_plano_conta_azul_com_desconto;valor_mensalidade;valor_periodo;valor_ano;periodo_pagamento_id;plano_conta_azul_id;plano_contabil_id;ramo_id;tributacao_id;desconto_plano_contabil_id;desconto_plano_conta_azul_id;assinatura_empresa_id
1;unless virtuous swordfish;471.17;683.08;29745.49;39.91;18321.87;24672.78;10937;25655.35;25958.97;8947.36;32337.99;20281.36;1;1;1;1;1;1;1;1
2;ivory influence below;13579.74;14808.31;32043.17;31817.03;29731.53;4721.82;9910.7;17964.74;396.24;16449.42;24222.42;16901.78;2;2;2;2;2;2;2;2
3;trifling;24290.13;17948.5;16170.15;22425.06;27779.6;5227.86;13263.89;21177.04;835.12;13083.95;19425.67;15539.7;3;3;3;3;3;3;3;3
4;an almost easily;28979.08;12683.05;5568.93;29391.79;2393.27;32583.75;20657.18;14470.89;8576.92;29749.99;14184.21;26015.21;4;4;4;4;4;4;4;4
5;notable;11505.53;20233.71;892.34;24092.38;12334.57;15227.74;12568.6;10480.15;6078.81;4087.38;3820.92;291.82;5;5;5;5;5;5;5;5
6;deliberately telephone;5847.32;3267.48;23554.26;18323.4;13071.71;28635.63;22202.3;9995.09;29706.36;30768.27;9381.48;31448.22;6;6;6;6;6;6;6;6
7;televise;313.25;9030.59;27525.75;6653.21;7424.15;8224.71;1716.25;4668.09;3500.65;25990.44;2744.46;22430.49;7;7;7;7;7;7;7;7
8;with chapel;26569.77;7326.91;16636.18;1284.32;7968.77;7634.52;1206.6;28426.84;17599.04;11641.36;8737.99;8473.37;8;8;8;8;8;8;8;8
9;respectful;17801.43;8592.03;25893.8;29134.16;10805.79;10992.68;8818.14;12014.42;24771.9;8281.74;17103.46;30224.31;9;9;9;9;9;9;9;9
10;trespass;8795.78;31721.33;30010.88;199.18;5978.21;28293.61;14643.8;9408.47;6324.9;6835.23;8475.27;8049.32;10;10;10;10;10;10;10;10
