id;nome;sigla;descricao;tipo_certificado
1;confiscate timbale timely;however flick;../fake-data/blob/hipster.txt;T
2;wide;blissfully;../fake-data/blob/hipster.txt;A4
3;although when briefly;vainly because incre;../fake-data/blob/hipster.txt;OUTROS
4;yuck;than;../fake-data/blob/hipster.txt;A1
5;out mmm;octave er pomegranat;../fake-data/blob/hipster.txt;A3
6;but;different astride;../fake-data/blob/hipster.txt;A
7;offensively furthermore improbable;visa blah thankful;../fake-data/blob/hipster.txt;A4
8;against as unless;following;../fake-data/blob/hipster.txt;S
9;scrunch transform;disguise;../fake-data/blob/hipster.txt;A4
10;debase niece;gadzooks loudly whos;../fake-data/blob/hipster.txt;A3
