id;url_certificado;data_contratacao;data_vencimento;dias_uso;pessoa_juridica_id;certificado_digital_id;fornecedor_certificado_id
1;../fake-data/blob/hipster.txt;2024-08-28T15:39:17;2024-08-28T16:28:56;17502;1;1;1
2;../fake-data/blob/hipster.txt;2024-08-27T22:05:37;2024-08-28T13:45:26;1950;2;2;2
3;../fake-data/blob/hipster.txt;2024-08-28T14:15:37;2024-08-28T01:47:15;24435;3;3;3
4;../fake-data/blob/hipster.txt;2024-08-28T16:37:30;2024-08-28T08:24:34;7924;4;4;4
5;../fake-data/blob/hipster.txt;2024-08-28T03:14:49;2024-08-28T11:23:55;7952;5;5;5
6;../fake-data/blob/hipster.txt;2024-08-28T08:06:26;2024-08-28T11:18:21;23224;6;6;6
7;../fake-data/blob/hipster.txt;2024-08-28T12:01:50;2024-08-28T10:56:46;10833;7;7;7
8;../fake-data/blob/hipster.txt;2024-08-28T17:57:52;2024-08-27T22:41:53;7288;8;8;8
9;../fake-data/blob/hipster.txt;2024-08-27T21:08:42;2024-08-28T16:50:06;11012;9;9;9
10;../fake-data/blob/hipster.txt;2024-08-27T21:15:16;2024-08-28T03:48:12;9289;10;10;10
