id;codigo;descricao;anexo;atendido_freemium;atendido;optante_simples;categoria
1;snooker now sail;../fake-data/blob/hipster.txt;10939;false;false;true;below easily whether
2;regularize usefully;../fake-data/blob/hipster.txt;32449;true;true;true;rediscover
3;desist riding concerning;../fake-data/blob/hipster.txt;20780;false;false;true;whenever
4;modulo communicate;../fake-data/blob/hipster.txt;4374;false;false;true;suborn
5;politely over;../fake-data/blob/hipster.txt;24637;true;true;true;onto
6;qua;../fake-data/blob/hipster.txt;2423;false;false;true;following annually
7;because or down;../fake-data/blob/hipster.txt;22391;true;true;true;zowie unabashedly
8;underneath um before;../fake-data/blob/hipster.txt;22704;true;false;false;unabashedly whoever
9;idealistic refund;../fake-data/blob/hipster.txt;4372;false;true;false;shyly
10;ack an yet;../fake-data/blob/hipster.txt;21890;false;false;false;indelible backdrop shampoo
