id;data_atribuicao;data_revogacao;tarefa_ordem_servico_execucao_id;contador_id
1;2024-08-12T23:42:51;2024-08-13T02:47:55;1;1
2;2024-08-12T10:28:28;2024-08-12T12:01:21;2;2
3;2024-08-12T12:46:38;2024-08-12T15:34:51;3;3
4;2024-08-12T10:52:41;2024-08-12T23:37:03;4;4
5;2024-08-12T13:11:05;2024-08-12T14:25:53;5;5
6;2024-08-12T09:44:17;2024-08-12T21:22:17;6;6
7;2024-08-12T08:36:08;2024-08-12T16:54:07;7;7
8;2024-08-12T15:11:22;2024-08-13T01:30:22;8;8
9;2024-08-12T22:58:28;2024-08-12T07:47:58;9;9
10;2024-08-12T17:33:11;2024-08-13T00:47:43;10;10
