id;data_atribuicao;data_revogacao;concluida;tarefa_recorrente_execucao_id;contador_id
1;2024-08-12T13:03:46;2024-08-13T04:54:02;false;1;1
2;2024-08-12T21:21:39;2024-08-12T08:12:44;false;2;2
3;2024-08-12T18:03:38;2024-08-12T06:41:55;true;3;3
4;2024-08-13T02:33:21;2024-08-13T04:17:45;false;4;4
5;2024-08-12T17:05:09;2024-08-12T15:24:29;false;5;5
6;2024-08-12T08:01:12;2024-08-12T23:57:14;false;6;6
7;2024-08-12T23:54:42;2024-08-12T10:27:59;false;7;7
8;2024-08-12T23:43:41;2024-08-12T10:37:06;true;8;8
9;2024-08-12T08:33:56;2024-08-12T07:05:45;false;9;9
10;2024-08-13T03:24:08;2024-08-12T09:08:46;true;10;10
