id;percentual_experiencia;descricao_experiencia;pontuacao_entrevista;pontuacao_avaliacao;departamento_id;contador_id
1;20381.4;apropos whenever astride;21086.59;237;1;1
2;22659.17;what extol;30128.42;20279.05;2;2
3;25857.62;firsthand furiously gauntlet;32280.55;27516.82;3;3
4;4663.79;geez;16791.85;30774.1;4;4
5;21475.14;behind cannibalize but;23543.32;9767.18;5;5
6;23916.94;hm;17197.78;23767.89;6;6
7;17122.08;giant wherever;7110.64;4694.42;7;7
8;24759.55;winding truly;1703.51;26776.47;8;8
9;243.38;attach except;1832.7;8104.12;9;9
10;24668.68;leadership revenue general;31064.48;20061.31;10;10
