id;pontuacao;depoimento;reclamacao;departamento_id;empresa_id;contador_id
1;3176.4;immediate consequently;whoa;1;1;1
2;3226.09;grey crystallography;inasmuch char;2;2;2
3;18655.81;metallic sarcastic shootdown;as failing like;3;3;3
4;14220.53;woot plugin air;hijack however trip;4;4;4
5;31344.15;throughout;oof;5;5;5
6;436.75;opposite;dog cheek gee;6;6;6
7;13816.31;max;whenever;7;7;7
8;3574.86;unlike which aha;disapprove phooey uh-huh;8;8;8
9;28432.12;once boohoo;but suburban patina;9;9;9
10;15024.65;beseech;fortunately;10;10;10
