id;url_certidao_dependente;url_rg_dependente;dependente_irrf;dependente_salario_familia;tipo_dependente_funcionario_enum;pessoa_id;funcionario_id
1;dissolve;elicit since jovially;false;true;CONJUGE;1;1
2;precision behind cannon;yawningly painfully;false;true;FILHO;2;2
3;huzzah leg;along longingly;false;false;CONJUGE;3;3
4;consumer yowza;droopy ew;true;false;PAISAVOS;4;4
5;compromise about;before and;false;true;MENORCOMGUARDAR;5;5
6;obediently succumb carpenter;choreograph;true;false;FILHO;6;6
7;vein underneath;ugh;true;false;FILHO;7;7
8;scull offbeat bankrupt;separately anxiously;true;true;IRMAONETOBISNETO;8;8
9;where;rarely;true;true;MENORCOMGUARDAR;9;9
10;incidentally unfortunately;reluctantly zoot-suit;false;true;PAISAVOS;10;10
