id;razao_social;descricao_do_negocio;data_abertura;url_contrato_social;capital_social;cnae;pessoa_juridica_id;empresa_id;ramo_id;enquadramento_id
1;forenenst;../fake-data/blob/hipster.txt;2024-08-28T10:43:17;along loftily sturgeon;22745.12;spectacles;1;1;1;1
2;minus establish;../fake-data/blob/hipster.txt;2024-08-28T18:06:09;conservative pace salary;21908.93;fen afore;2;2;2;2
3;arctic constellation;../fake-data/blob/hipster.txt;2024-08-28T13:23:02;pea under;6593.06;tunnel whoever before;3;3;3;3
4;blissfully;../fake-data/blob/hipster.txt;2024-08-28T08:06:16;notwithstanding because ha;9855.3;phooey;4;4;4;4
5;slide;../fake-data/blob/hipster.txt;2024-08-28T00:47:53;feisty;26098.1;down hungrily than;5;5;5;5
6;martyr that unless;../fake-data/blob/hipster.txt;2024-08-28T14:25:18;upon;19149.24;aside before speedily;6;6;6;6
7;legitimate sweaty;../fake-data/blob/hipster.txt;2024-08-28T11:48:03;outside female;7237.31;paltry opposite;7;7;7;7
8;below vice carelessly;../fake-data/blob/hipster.txt;2024-08-28T00:24:54;hideous;25632.31;boo;8;8;8;8
9;how blindly;../fake-data/blob/hipster.txt;2024-08-28T17:22:20;fob gratefully;20559.3;aggressive;9;9;9;9
10;instrumentation;../fake-data/blob/hipster.txt;2024-08-28T07:35:14;once;29103.73;faithfully bah aha;10;10;10;10
