id;nome;observacao;ramo_id;enquadramento_id;tributacao_id;cidade_id
1;detour thankfully;reality disclosure to;1;1;1;1
2;consequently wisely;ick but around;2;2;2;2
3;capitulate where outside;as since whoever;3;3;3;3
4;boo eventually;duh tomorrow uh-huh;4;4;4;4
5;mysteriously;uselessly;5;5;5;5
6;phooey insulation somber;powerless fondly;6;6;6;6
7;amongst oh;correctly;7;7;7;7
8;piano questioningly;but judgementally;8;8;8;8
9;circa;injury clever intently;9;9;9;9
10;galvanise murmuring;favorable when;10;10;10;10
