id;logradouro;numero;complemento;bairro;cep;principal;filial;endereco_fiscal;cidade_id;pessoa_juridica_id
1;zowie terrible nor;worldly gosh energize;unknown fresh ridicule;irritating;authority pseudoscience;false;true;true;1;1
2;after zealous;gossip;round alive;trundle;monthly and soil;false;true;true;2;2
3;meh voluminous;whoever youthful;turbocharge rage;separately;immaculate bleakly;true;true;false;3;3
4;leeway;where;yuck;swill;however wilted;true;false;false;4;4
5;arid up;monastery;ordain;circa generally;lest drat brr;true;true;false;5;5
6;anterior;blather;afore modulo;so;similar;false;true;true;6;6
7;gosh arrogantly intuit;pace;judicious inside;to down;pish although zowie;true;true;false;7;7
8;between yahoo the;yet;always furthermore even;where;against powerful;true;false;false;8;8
9;shot once;or nightingale;ischemia whose;brag;friend beside;false;true;true;9;9
10;provided;instead bad;digging moment classic;tragic;complete perpetuate hatred;true;false;false;10;10
