id;nome;sigla;limite_inicial;limite_final;descricao
1;till;unto like;32737.02;12617.61;../fake-data/blob/hipster.txt
2;annihilate skive;humble;13977.53;13129.69;../fake-data/blob/hipster.txt
3;quickly gently;unless rapidly;31475.75;19783.61;../fake-data/blob/hipster.txt
4;utterly yet retest;thrill huzzah actually;5342.13;19367.67;../fake-data/blob/hipster.txt
5;safely seaside;during;1798.71;20006.02;../fake-data/blob/hipster.txt
6;gadzooks gainsay rue;pro nestling reskill;3270.06;29614.01;../fake-data/blob/hipster.txt
7;along discharge;excepting yuck;2545.55;12521.55;../fake-data/blob/hipster.txt
8;pinkie servitude fooey;arrogantly;8275.59;3207.56;../fake-data/blob/hipster.txt
9;ha will;gadzooks;20710.95;25449.62;../fake-data/blob/hipster.txt
10;duh;unroll pessimistic tangible;22956.92;24412.84;../fake-data/blob/hipster.txt
