id;nome_instituicao;ano_conclusao;url_comprovante_escolaridade;pessoa_id;escolaridade_id
1;but dwindle whether;15399;equally oxidize;1;1
2;how retort woefully;6597;before porpoise delightfully;2;2
3;victoriously immediately old-fashioned;21733;through briefly sore;3;3
4;pushy although;24186;with joyously coyote;4;4
5;able;31125;aw even;5;5
6;stylish chemistry;31960;annual;6;6
7;intently posh;32410;that;7;7
8;truthfully;14036;although;8;8
9;meanwhile down resource;14063;excitable mmm plush;9;9
10;um solidly;25751;elucidate;10;10
