id;nome;naturalidade;sigla;pais_id
1;funny;fooey distortion;although gadzooks;1
2;geez;finally aha;down underlie;2
3;blah meager;imitate twin;hmph;3
4;accidentally which instead;colorfully hike indeed;quit clothe greatly;4
5;amidst dose zowie;woot reef;daily short wonderfully;5
6;outpace ah;punctually;juicy plait;6
7;who although rigid;triumphantly;sugary during;7
8;loaf finally huzzah;unaccountably so;daily;8
9;apud prisoner brr;um rubric;shelf pseudoscience;9
10;skean gregarious bore;jaggedly mind yuck;speakerphone apse good-bye;10
