id;data_chegada;data_naturalizacao;casado_com_brasileiro;filhos_com_brasileiro;checked;funcionario_id
1;itemise;woot;true;false;true;1
2;disclaimer disorientate and;tabulate bitterly;true;false;true;2
3;gadzooks;as tunnel;true;false;false;3
4;ugh overdraw diligently;by;true;false;true;4
5;along selfishly whether;venerate misname;false;false;false;5
6;restock abort;bestow although duffel;true;true;false;6
7;mean damaged;clean;true;false;false;7
8;mover;anenst;true;false;false;8
9;against investor;unlike;true;false;false;9
10;till penny;above;false;false;false;10
