id;nome;descricao;feito;ordem;agendada;ordem_servico_id
1;because;even daily;false;24376;false;1
2;quintessential above ameliorate;who now;true;3229;true;2
3;ew complication;now;true;24520;false;3
4;regarding alongside;until;true;5281;false;4
5;acrobatic;near;true;28232;false;5
6;glorious;but base;false;3348;false;6
7;across above;yum wherever inclusion;true;10812;true;7
8;slowly boohoo;textbook;false;2149;false;8
9;squeal last knowingly;rule limp;true;23372;false;9
10;spring flat gee;vane whoa;false;21567;true;10
