id;forma;descricao;disponivel
1;caption;../fake-data/blob/hipster.txt;true
2;sedately blond;../fake-data/blob/hipster.txt;false
3;defy greedily;../fake-data/blob/hipster.txt;true
4;shearling despite beautifully;../fake-data/blob/hipster.txt;false
5;date fortunately;../fake-data/blob/hipster.txt;false
6;sleepy sentimentalize radicalize;../fake-data/blob/hipster.txt;true
7;while daintily;../fake-data/blob/hipster.txt;true
8;excoriate or;../fake-data/blob/hipster.txt;false
9;competition separate;../fake-data/blob/hipster.txt;false
10;mmm yuck but;../fake-data/blob/hipster.txt;false
