id;razao_social;sigla;descricao
1;old;evidence amidst;../fake-data/blob/hipster.txt
2;famous what;till epitomize;../fake-data/blob/hipster.txt
3;failure reconquer;likewise;../fake-data/blob/hipster.txt
4;team;onto following;../fake-data/blob/hipster.txt
5;overawe;conspiracy yippee;../fake-data/blob/hipster.txt
6;literature;like ouch;../fake-data/blob/hipster.txt
7;pfft;solemnly;../fake-data/blob/hipster.txt
8;colon;scarily antique pfft;../fake-data/blob/hipster.txt
9;ah;chunder till;../fake-data/blob/hipster.txt
10;whenever article;until;../fake-data/blob/hipster.txt
