id;ativa;data_expiracao;ilimitado;desabilitar;funcionalidade_id;grupo_acesso_empresa_id;permisao_id
1;resit on barring;2024-08-13T03:50:17;true;true;1;1;1
2;doorway;2024-08-13T03:25:04;false;false;2;2;2
3;duh;2024-08-12T19:18:35;true;true;3;3;3
4;aged quizzically angrily;2024-08-12T13:35:10;false;false;4;4;4
5;boo;2024-08-13T00:32:20;false;true;5;5;5
6;gosh what;2024-08-12T12:29:51;true;false;6;6;6
7;frightfully offensively furthermore;2024-08-12T05:33:16;true;true;7;7;7
8;mechanically furiously;2024-08-12T21:34:23;true;true;8;8;8
9;since meter witty;2024-08-12T19:46:43;false;true;9;9;9
10;when;2024-08-12T08:26:11;true;true;10;10;10
