id;autorizado;data_expiracao;data_atribuicao;funcionalidade_id;grupo_acesso_padrao_id;permisao_id
1;true;2024-08-13T01:42:09;2024-08-12T14:34:08;1;1;1
2;false;2024-08-12T17:55:34;2024-08-12T09:51:42;2;2;2
3;false;2024-08-12T21:07:20;2024-08-12T16:26:46;3;3;3
4;false;2024-08-12T10:23:46;2024-08-12T09:19:57;4;4;4
5;false;2024-08-12T17:06:23;2024-08-12T18:37:14;5;5;5
6;false;2024-08-12T12:58:36;2024-08-12T22:36:26;6;6;6
7;true;2024-08-13T01:42:23;2024-08-12T17:24:30;7;7;7
8;true;2024-08-13T03:23:14;2024-08-13T00:06:40;8;8;8
9;false;2024-08-12T10:48:43;2024-08-12T05:24:04;9;9;9
10;false;2024-08-13T03:04:28;2024-08-12T22:23:53;10;10;10
