id;nome;data_expiracao;ilimitado;desabilitar;usuario_contador_id;permisao_id;grupo_acesso_empresa_id
1;reform;2024-08-12T20:14:03;true;true;1;1;1
2;award;2024-08-13T01:30:03;true;false;2;2;2
3;yippee;2024-08-12T15:00:46;true;true;3;3;3
4;likewise;2024-08-13T02:22:20;false;false;4;4;4
5;hmph;2024-08-12T17:21:45;true;false;5;5;5
6;er during ha;2024-08-12T23:20:31;true;false;6;6;6
7;mod because;2024-08-12T22:07:20;true;true;7;7;7
8;notwithstanding onto;2024-08-12T07:38:02;false;true;8;8;8
9;meanwhile since cloud;2024-08-12T07:16:21;false;true;9;9;9
10;whirring uncover aha;2024-08-12T11:28:33;false;false;10;10;10
