id;nome;data_expiracao;ilimitado;desabilitar;grupo_acesso_empresa_id;usuario_empresa_id
1;polished mousse;2024-08-12T07:22:30;false;true;1;1
2;dearest accidentally;2024-08-12T19:03:50;true;false;2;2
3;fooey;2024-08-13T00:45:01;true;false;3;3
4;and insubstantial closely;2024-08-13T03:20:50;true;true;4;4
5;slowly after too;2024-08-12T05:52:22;false;true;5;5
6;revolving sheepishly gosh;2024-08-12T07:27:41;true;true;6;6
7;yahoo boo;2024-08-12T21:10:52;false;false;7;7
8;apropos dream ugh;2024-08-13T01:26:37;true;false;8;8
9;amongst cod when;2024-08-12T21:15:51;false;false;9;9
10;miscalculate athwart mountainous;2024-08-12T23:27:10;true;false;10;10
