id;valor;prazo;data_criacao;data_hora_cancelamento;status_da_os;descricao;empresa_id;contador_id
1;30623.83;2024-08-12T06:26:13;2024-08-12T06:48:38;2024-08-12T21:21:39;EMATENDIMENTO;boo defenseless;1;1
2;1815.38;2024-08-13T03:46:57;2024-08-13T02:12:17;2024-08-13T04:09:27;CONCLUIDA;next stem;2;2
3;30880.58;2024-08-12T14:35:34;2024-08-12T15:49:34;2024-08-12T19:54:48;EMATENDIMENTO;ouch shrilly valiantly;3;3
4;12116.17;2024-08-12T15:04:23;2024-08-13T04:53:42;2024-08-12T22:24:44;CANCELADA;painfully;4;4
5;16289.65;2024-08-12T07:57:00;2024-08-12T14:13:09;2024-08-12T18:06:28;EMATENDIMENTO;rarely hidden;5;5
6;19035.74;2024-08-13T00:52:55;2024-08-12T13:32:22;2024-08-13T00:20:37;COMPENDENCIA;because or;6;6
7;24003.49;2024-08-12T08:50:12;2024-08-12T16:31:13;2024-08-12T20:27:07;COMPENDENCIA;cool psst glorify;7;7
8;9534.41;2024-08-12T17:27:16;2024-08-13T03:44:18;2024-08-12T08:59:27;CANCELADA;brr onion;8;8
9;3378.79;2024-08-12T07:58:30;2024-08-12T18:28:30;2024-08-12T09:17:41;EMATENDIMENTO;cylindrical;9;9
10;23857.18;2024-08-13T02:35:51;2024-08-12T14:27:48;2024-08-13T01:12:54;CONCLUIDA;hence;10;10
