id;data_cobranca;data_vencimento;data_pagamento;valor_pago;valor_cobrado;acrescimo;multa;juros;situacao;assinatura_empresa_id
1;2024-08-12T06:47:18;2024-08-12T20:51:46;2024-08-12T19:05:33;31457.73;11896.16;30917.28;9737.89;20753.4;APAGAR;1
2;2024-08-13T04:11:04;2024-08-12T07:20:46;2024-08-12T15:14:16;21252.68;27024.33;26299.06;17438.64;25610.32;EMATRASO;2
3;2024-08-12T20:17:43;2024-08-12T05:50:34;2024-08-13T05:02:51;7056.01;13332.58;29552.69;7765.93;28310.36;APAGAR;3
4;2024-08-12T07:19:41;2024-08-12T12:39:31;2024-08-12T11:08:08;14030.39;2460.03;22334.37;24632.92;8857.75;PAGO;4
5;2024-08-12T19:47:59;2024-08-12T19:01:51;2024-08-13T02:45:09;30305.56;25973.4;22438.53;30467.98;5404.7;EMATRASO;5
6;2024-08-12T18:00:22;2024-08-13T00:35:43;2024-08-12T20:58:14;19748.87;20217.49;1750.86;7567.83;8777.16;APAGAR;6
7;2024-08-12T07:33:10;2024-08-13T02:02:55;2024-08-12T21:50:17;25172.42;22856.12;304.53;3309.62;10573.83;EMATRASO;7
8;2024-08-13T04:26:03;2024-08-12T18:33:04;2024-08-12T11:11:04;12216.95;21638.18;24918.25;7529.95;30873.24;APAGAR;8
9;2024-08-13T01:19:48;2024-08-12T20:51:47;2024-08-12T07:57:55;8651.12;22611.6;31181.36;25696.63;31276.53;APAGAR;9
10;2024-08-12T23:13:42;2024-08-12T22:08:45;2024-08-13T00:37:47;18034.08;25197.98;32201.16;17193.19;29817.96;PAGO;10
