id;numero_parcela;data_vencimento;data_pagamento;valor;valor_multa;url_arquivo_pagamento;url_arquivo_comprovante;mes_competencia;parcelamento_imposto_id
1;17091;2024-08-12T16:16:45;2024-08-12T15:35:16;861.67;12799;aw exemplary ascend;sprawl functionality observatory;DEZEMBRO;1
2;12875;2024-08-13T00:47:21;2024-08-12T14:33:47;32572.56;16948;forsaken;as;MAIO;2
3;7563;2024-08-12T22:08:00;2024-08-12T13:46:15;1582.81;20266;light anti where;cassava aha rhyme;ABRIL;3
4;26064;2024-08-12T16:54:13;2024-08-12T16:35:12;1706.88;4555;flub obnoxiously unto;notwithstanding forenenst calculating;MAIO;4
5;10948;2024-08-13T00:58:13;2024-08-12T11:39:39;13667.37;20182;as;eek;FEVEREIRO;5
6;4793;2024-08-13T03:16:02;2024-08-12T12:15:29;2305.11;28954;wholly once;incomparable parched neutralize;OUTUBRO;6
7;2889;2024-08-13T04:57:35;2024-08-12T19:41:26;1993.31;9465;fooey ugh;visit;JUNHO;7
8;9343;2024-08-12T23:36:42;2024-08-12T13:22:29;27505.22;18399;yam;underneath till;DEZEMBRO;8
9;13977;2024-08-12T20:37:36;2024-08-12T12:26:38;31650.93;90;droop equal;snowball even but;JANEIRO;9
10;26179;2024-08-12T14:31:18;2024-08-12T17:18:34;28625.41;18338;modulo;weakly into absent;JULHO;10
