id;dia_vencimento;numero_parcelas;url_arquivo_negociacao;numero_parcelas_pagas;numero_parcelas_regatantes;situacao_solicitacao_parcelamento_enum;imposto_id;empresa_id
1;11418;29130;tavern;22066;10616;FINALIZADA;1;1
2;6972;14473;mmm but;21663;27031;CANCELADA;2;2
3;13120;9397;properly oof;25537;347;FINALIZADA;3;3
4;23244;3646;ack past;28270;23015;PROCESSADA;4;4
5;7316;12840;brr pish after;28129;32035;CANCELADA;5;5
6;32203;29099;aw extract provided;10392;27318;FINALIZADA;6;6
7;651;5007;complexity um;31022;7539;CANCELADA;7;7
8;15334;4201;appeal stifle;17082;730;CANCELADA;8;8
9;10704;486;writhe um after;1599;20379;FINALIZADA;9;9
10;18598;24491;kind;7230;17336;CANCELADA;10;10
