id;perfil;descricao;limite_empresas;limite_departamentos;limite_faturamento
1;subdued;array worth derrick;12560;17220;22880.83
2;whoa;near supposing so;28938;15712;25017.31
3;the minus;questionably;19818;27424;3275.26
4;unto rarely yum;mammoth however bleakly;5507;17135;2457.52
5;staid obedience resound;oblong;23253;14319;27700.1
6;vacantly;altitude jealous;1794;8920;20192.64
7;on;mmm;23857;23824;6006.86
8;knotty alert;hastily while mild;7233;30001;2069.94
9;selfish integer tomorrow;disrobe huzzah;6227;12026;19451.44
10;enrollment unlike;hm incidentally flake;15455;16849;4381.12
