id;nome;adicional_socio;adicional_funcionario;socios_isentos;adicional_faturamento;valor_base_faturamento;valor_base_abertura;situacao
1;whenever;24203.96;4300.1;2843;7903.55;31010.15;4682.43;EXCLUIDO
2;astride lest botch;312.62;11099.59;19697;12905.79;11015.91;22427.22;INATIVO
3;systematise;1010.97;19598.14;4446;18035.93;8208.13;16394.46;ATIVO
4;disenfranchise icky;30948.63;8704.44;11951;17744.6;4890.85;26126.89;INATIVO
5;unacceptable;19070.45;30403.87;2353;31884.44;846.36;23566.14;ATIVO
6;lest month;29070.68;24933.19;19200;32535.92;30126.81;31639.79;EXCLUIDO
7;via terracotta intubate;14207.22;18099.2;14554;31540.24;16052.88;8789.05;ATIVO
8;adored towards obnoxiously;14008.99;4615.07;13828;25560.37;18071;3408.93;EXCLUIDO
9;out spiral crazy;11693.57;24976.46;23897;16703.04;11323.19;609.57;EXCLUIDO
10;furiously;27568.93;18826.85;31741;20831.9;11431.92;7715.47;ATIVO
