id;nome;valor_base;usuarios;boletos;nota_fiscal_produto;nota_fiscal_servico;nota_fiscal_ce;suporte;situacao
1;kindly;7520.05;18537;26238;19515;22521;6058;true;INATIVO
2;than;1010.26;14801;17165;11477;9732;15807;false;EXCLUIDO
3;antagonize lumbering;14103.91;25319;24026;29220;18560;29664;false;ATIVO
4;telescope scarily;19107.37;28584;21963;22042;29;10841;false;ATIVO
5;ambitious;4009.71;27970;1985;1890;24679;346;true;ATIVO
6;retreat lively;29921.87;25030;26839;12352;11303;16880;false;EXCLUIDO
7;wherever;20508.55;17988;18;17711;27505;26228;true;ATIVO
8;so slash disadvantage;9190.55;7934;17469;27265;20869;18740;false;ATIVO
9;or;11958.19;32210;11259;26690;12824;2330;false;INATIVO
10;hmph police;27330.64;14311;4673;21924;31319;15122;true;INATIVO
