id;nome;adicional_socio;adicional_funcionario;socios_isentos;adicional_faturamento;valor_base_faturamento;valor_base_abertura;situacao
1;amidst;31562.2;14407.61;20666;3203.93;931.01;6096.85;EXCLUIDO
2;morph kilometer whereas;7184.73;13506.14;14340;22179.22;8861.28;17730.45;ATIVO
3;punctually pace;5723.08;18001.17;21842;31980.38;27508.45;13185.52;EXCLUIDO
4;wisely sore;18408.65;7947.23;1957;6025.49;14740.5;15911.3;INATIVO
5;impanel woefully;22720.65;29579.98;15930;19471.25;11835.74;14342.77;ATIVO
6;shocking adumbrate giving;10742.44;2166.75;25868;8131.51;675.68;21716.45;EXCLUIDO
7;willing electric;25780.13;13357.68;13475;6840.73;25100.58;6562.04;ATIVO
8;lost colorless sheepishly;32351.65;10301.23;31889;11182.34;3697.59;17541.02;EXCLUIDO
9;allude whose;26160.62;25311.23;19330;14598.14;30438.7;26168.93;EXCLUIDO
10;after provided;4157.99;28484.24;11715;14616.71;20390.37;23144.48;INATIVO
