id;nome;cbo;categoria;descricao
1;upright gently geez;31271;supposing low;../fake-data/blob/hipster.txt
2;as across;4710;pleasant of;../fake-data/blob/hipster.txt
3;unexpectedly vast;24794;disabuse;../fake-data/blob/hipster.txt
4;cocoon;15355;satin where that;../fake-data/blob/hipster.txt
5;respire plus meridian;1890;uh-huh outside;../fake-data/blob/hipster.txt
6;difficult hence among;18435;inasmuch inasmuch;../fake-data/blob/hipster.txt
7;yet bah for;2458;squelch well;../fake-data/blob/hipster.txt
8;sweat now defraud;10099;appliance challenge;../fake-data/blob/hipster.txt
9;absentmindedly;5369;offensive cautiously loathsome;../fake-data/blob/hipster.txt
10;beating notwithstanding;1446;infer questioner brr;../fake-data/blob/hipster.txt
