id;perfil;url_perfil;rede_social_id;pessoajuridica_id
1;toward angle;../fake-data/blob/hipster.txt;1;1
2;why abaft fooey;../fake-data/blob/hipster.txt;2;2
3;worth cleverly;../fake-data/blob/hipster.txt;3;3
4;usefully woof;../fake-data/blob/hipster.txt;4;4
5;provided eventuate since;../fake-data/blob/hipster.txt;5;5
6;exalt geez;../fake-data/blob/hipster.txt;6;6
7;joshingly airlift;../fake-data/blob/hipster.txt;7;7
8;what goddess amongst;../fake-data/blob/hipster.txt;8;8
9;pessimistic export;../fake-data/blob/hipster.txt;9;9
10;until tailgate delightfully;../fake-data/blob/hipster.txt;10;10
