id;nome;descricao;icon;imagem;tags;tipo;ramo_id
1;sans vacantly but;../fake-data/blob/hipster.txt;lest;union;../fake-data/blob/hipster.txt;SERVICO;1
2;yowza delay;../fake-data/blob/hipster.txt;fiercely lever;timpani pish;../fake-data/blob/hipster.txt;SERVICO_COMERCIO;2
3;carom;../fake-data/blob/hipster.txt;newsletter yum astride;klutzy enchanting;../fake-data/blob/hipster.txt;SERVICO_COMERCIO;3
4;helplessly almond;../fake-data/blob/hipster.txt;flinch over amongst;drat yearly;../fake-data/blob/hipster.txt;SERVICO;4
5;as sleepily belong;../fake-data/blob/hipster.txt;whereas impeach worth;anenst;../fake-data/blob/hipster.txt;COMERCIO;5
6;suspicious;../fake-data/blob/hipster.txt;obfuscate ouch;hm bah off;../fake-data/blob/hipster.txt;COMERCIO;6
7;till;../fake-data/blob/hipster.txt;scheduling psst;which;../fake-data/blob/hipster.txt;SERVICO;7
8;that for before;../fake-data/blob/hipster.txt;wiring;insignificant shinny;../fake-data/blob/hipster.txt;COMERCIO;8
9;need systematize;../fake-data/blob/hipster.txt;over;questionably alongside sample;../fake-data/blob/hipster.txt;SERVICO_COMERCIO;9
10;alongside teriyaki;../fake-data/blob/hipster.txt;noxious;solidly physically yet;../fake-data/blob/hipster.txt;SERVICO_COMERCIO;10
