id;data_legal;data_admin;servico_contabil_id;assinatura_empresa_id
1;2024-08-12T13:18:40;2024-08-12T17:08:27;1;1
2;2024-08-12T19:02:29;2024-08-12T05:38:53;2;2
3;2024-08-12T16:08:31;2024-08-13T05:12:10;3;3
4;2024-08-12T16:23:12;2024-08-12T06:08:45;4;4
5;2024-08-12T18:02:07;2024-08-12T18:40:08;5;5
6;2024-08-13T01:19:07;2024-08-12T13:34:45;6;6
7;2024-08-12T08:51:02;2024-08-12T11:31:14;7;7
8;2024-08-12T22:58:47;2024-08-12T13:14:13;8;8
9;2024-08-13T00:48:02;2024-08-12T19:11:44;9;9
10;2024-08-12T13:26:35;2024-08-12T22:08:20;10;10
