id;nome;valor;descricao;dias_execucao;gera_multa;periodo_execucao;dia_legal;mes_legal;valor_ref_multa;area_contabil_id;esfera_id
1;when gracefully;32528.85;briskly bah;19421;false;7439;25788;5799;13171.8;1;1
2;wake;29008.72;now loyally unless;4054;false;8814;11192;23540;13565.48;2;2
3;terribly sniveling toward;12725.88;eek gruesome;12210;true;19801;5175;31956;25595.02;3;3
4;smart intend;4188.61;colossal optimise soft;20976;true;13339;18180;3532;13117.42;4;4
5;absent lest near;26592.93;gah even bright;9071;false;11737;1053;3978;13043.75;5;5
6;strangle nor;23279.64;freelance shroom;5529;true;27148;13321;8046;13367.32;6;6
7;needily midst;7306.99;greedily by;16592;false;12463;10042;1611;6720.32;7;7
8;carabao nervous;565.23;platelet multiply yippee;23206;true;1044;23558;9097;979.84;8;8
9;tenderly;19099.87;upon now;8128;false;23248;29968;7049;18202.56;9;9
10;easily zowie what;15131.53;which blindly handsome;2586;true;82;28103;24520;17084.14;10;10
