id;data_admin;data_legal;servico_contabil_id;ordem_servico_id
1;2024-08-12T20:20:28;2024-08-12T23:55:03;1;1
2;2024-08-12T12:07:18;2024-08-12T17:43:46;2;2
3;2024-08-12T14:54:45;2024-08-13T01:40:11;3;3
4;2024-08-12T17:45:55;2024-08-13T01:25:00;4;4
5;2024-08-12T09:47:05;2024-08-12T12:29:39;5;5
6;2024-08-13T04:19:48;2024-08-12T06:56:25;6;6
7;2024-08-12T11:17:27;2024-08-12T20:58:23;7;7
8;2024-08-12T15:13:03;2024-08-12T23:37:32;8;8
9;2024-08-12T16:03:47;2024-08-13T01:48:52;9;9
10;2024-08-12T05:39:48;2024-08-12T22:36:07;10;10
