id;nome;descricao;ordem;concluida;tarefa_ordem_servico_execucao_id
1;sedately yuck;compartmentalise pure;9027;false;1
2;ease from;as innovate;1662;false;2
3;formal descriptive;outlying modulo;23280;false;3
4;steep;eek tall;26996;true;4
5;lightly despite;posture stupendous inlay;10497;false;5
6;fairly sharply;now eek;4531;false;6
7;commonly interesting;yum;8800;false;7
8;wavy teleconference limply;attractive yippee gleaming;5055;true;8
9;skyjack lest shaw;freak ack;29225;false;9
10;knotty entomb;gifted before;3798;true;10
