id;nome;descricao;ordem;concluida;tarefa_recorrente_execucao_id
1;where as;repentant until uh-huh;20263;false;1
2;astride overconfidently;yeast hm huzzah;9252;true;2
3;uh-huh;mangle;2169;true;3
4;commune stravaig;stuff knowledgeably whoa;10484;true;4
5;vice dependable quickly;voluminous;22298;true;5
6;disentangle ouch ouch;starry;11763;false;6
7;charge ack denominate;fooey;16297;true;7
8;grandma against;kindly gah except;19872;true;8
9;indeed;worth rap when;23078;true;9
10;cassava astride;towards bare;24231;true;10
