id;codigo;descricao;anexo;atendido_freemium;atendido;optante_simples;aceita_mei;categoria;classe_id
1;rural;../fake-data/blob/hipster.txt;23220;false;false;false;true;fickle mistreat;1
2;poised um;../fake-data/blob/hipster.txt;46;false;true;false;false;yahoo;2
3;meanwhile;../fake-data/blob/hipster.txt;6549;true;true;true;true;than narrow;3
4;about congregat;../fake-data/blob/hipster.txt;9211;false;true;false;true;bah ick;4
5;furthermore fla;../fake-data/blob/hipster.txt;23844;false;false;true;false;perfumed slice;5
6;what employment;../fake-data/blob/hipster.txt;6684;false;false;true;true;soliloquy;6
7;heater binge;../fake-data/blob/hipster.txt;9157;true;true;true;true;jump than which;7
8;unabashedly ick;../fake-data/blob/hipster.txt;14170;false;true;false;true;reluctantly abaft;8
9;indeed;../fake-data/blob/hipster.txt;8965;false;false;true;true;incidentally;9
10;ew ouch radical;../fake-data/blob/hipster.txt;24135;true;false;true;false;in awkward phrase;10
