id;ordem;item;descricao;tarefa_id
1;24539;rally;../fake-data/blob/hipster.txt;1
2;24957;instead;../fake-data/blob/hipster.txt;2
3;8847;wrongly although;../fake-data/blob/hipster.txt;3
4;5290;likewise before likewise;../fake-data/blob/hipster.txt;4
5;24252;undock pea;../fake-data/blob/hipster.txt;5
6;16295;which;../fake-data/blob/hipster.txt;6
7;23592;trample;../fake-data/blob/hipster.txt;7
8;2262;carbonize reaction;../fake-data/blob/hipster.txt;8
9;13139;zany watch;../fake-data/blob/hipster.txt;9
10;29805;morsel;../fake-data/blob/hipster.txt;10
