id;nome;descricao;ordem;data_entrega;data_agendada;concluida;notificar_cliente;mes;situacao_tarefa;tarefa_ordem_servico_id
1;cohort instantly;well-to-do since;29368;2024-08-12T19:30:06;2024-08-12T07:50:48;false;false;ABRIL;CANCELADA;1
2;viciously glittering interesting;at correctly spread;30813;2024-08-13T02:23:56;2024-08-12T15:20:59;true;false;SETEMBRO;PENDENTE;2
3;pardon uh-huh;controvert;19297;2024-08-13T03:52:37;2024-08-12T16:10:30;false;false;JULHO;CANCELADA;3
4;sister-in-law abaft;vivid thoughtfully;4406;2024-08-12T12:49:58;2024-08-13T02:18:48;false;true;JULHO;EMEXECUCAO;4
5;qua breastplate;coaxingly and;8487;2024-08-12T20:51:41;2024-08-12T07:55:07;false;true;SETEMBRO;CONCLUIDA;5
6;for poorly blindly;rotate;22650;2024-08-12T14:53:58;2024-08-12T16:23:54;true;false;FEVEREIRO;PENDENTE;6
7;ugh times extirpate;so;27718;2024-08-12T11:14:31;2024-08-12T11:24:32;true;true;MAIO;CANCELADA;7
8;thankfully over;too;8459;2024-08-12T17:38:32;2024-08-12T18:23:42;true;false;DEZEMBRO;EMEXECUCAO;8
9;whoa lively;righteously;19444;2024-08-12T14:47:24;2024-08-12T16:40:04;false;true;MAIO;EMEXECUCAO;9
10;meanwhile mmm;furthermore zowie;22017;2024-08-12T07:44:12;2024-08-12T06:24:25;false;true;JANEIRO;PENDENTE;10
