id;titulo;numero_dias;dia_util;valor;notificar_cliente;gera_multa;exibir_empresa;data_legal;pontos;tipo_tarefa;esfera_id;frequencia_id;competencia_id
1;ascertain below;4058;false;26916.12;false;false;false;2024-08-10T01:23:30;22172;RECORRENTE;1;1;1
2;until beech;5480;false;21255.96;true;true;true;2024-08-09T15:44:14;4766;RECORRENTE;2;2;2
3;verbally polite who;29861;true;5520.97;true;true;false;2024-08-09T18:33:59;31693;ORDEM_SERVICO;3;3;3
4;whoa step-uncle;32200;true;17356.18;false;false;false;2024-08-09T05:06:45;18068;ORDEM_SERVICO;4;4;4
5;ick;3697;false;9598.68;true;false;true;2024-08-09T23:18:57;25517;ORDEM_SERVICO;5;5;5
6;forenenst clever;7001;true;9899.06;true;false;true;2024-08-09T20:10:14;5596;RECORRENTE;6;6;6
7;deeply conflict blah;19092;false;22901.62;false;false;true;2024-08-09T21:54:50;5067;ORDEM_SERVICO;7;7;7
8;sledge provided beside;7143;true;9101.5;true;false;true;2024-08-09T07:33:24;25025;RECORRENTE;8;8;8
9;mysteriously justly above;20127;false;4494.2;true;false;true;2024-08-09T11:11:24;8478;ORDEM_SERVICO;9;9;9
10;fatal;9555;true;19388.14;true;false;false;2024-08-09T15:08:47;32713;ORDEM_SERVICO;10;10;10
