id;nome;descricao;notificar_cliente;notificar_contador;ano_referencia;data_admin;servico_contabil_ordem_servico_id
1;opposite;baker;false;true;7802;2024-08-12T14:42:02;1
2;via settlement woot;ornery once;true;true;26564;2024-08-12T20:24:20;2
3;worth midst part;gadzooks traffic how;false;false;9091;2024-08-12T22:51:50;3
4;yuck;bangle truthfully;false;false;712;2024-08-12T08:05:59;4
5;yahoo industrialize;pheromone ha toward;false;true;3481;2024-08-12T16:55:09;5
6;gah;hastily;false;false;15194;2024-08-12T12:21:35;6
7;headphones lobby;harmful;true;false;16631;2024-08-12T23:01:48;7
8;liquidate clue gadzooks;subdued promenade;false;false;11916;2024-08-12T19:12:19;8
9;dromedary unlike before;through gybe deeply;true;true;26736;2024-08-12T15:32:40;9
10;novel;untried blaring boo;false;false;20653;2024-08-12T23:24:53;10
