id;nome;descricao;notificar_cliente;notificar_contador;ano_referencia;data_admin;recorencia;servico_contabil_assinatura_empresa_id
1;impropriety extreme selfishly;promptly instead;true;true;9678;2024-08-13T00:50:45;SEMANAL;1
2;double personal rag;since helpful;true;true;27696;2024-08-12T18:41:12;MENSAL;2
3;except;indeed greedy;true;true;28512;2024-08-12T13:47:48;SEMANAL;3
4;gee kookily sandy;second-hand;true;true;28856;2024-08-13T02:49:00;SEMESTRAL;4
5;duh between swiftly;composed selfishly redesign;true;true;21435;2024-08-12T18:25:39;SEMESTRAL;5
6;gadzooks hm poet;impeccable in;false;false;19438;2024-08-12T21:10:30;TRIMESTRAL;6
7;whoever;lizard;false;true;10175;2024-08-12T18:47:44;DIARIO;7
8;rarely yowza complete;flush;true;true;2910;2024-08-12T14:27:14;TRIMESTRAL;8
9;massacre creepy interestingly;within back;true;true;7131;2024-08-12T06:59:26;ANUAL;9
10;unnecessarily;amusing deceivingly ultimately;false;false;11814;2024-08-12T06:34:50;SEMANAL;10
