id;data_adesao;checked;url_doc;contador_id;termo_de_adesao_id
1;2024-08-12T20:15:08;false;ew;1;1
2;2024-08-12T06:39:53;true;fairy fully;2;2
3;2024-08-12T11:10:30;false;notwithstanding actually;3;3
4;2024-08-13T04:38:26;true;and ew ick;4;4
5;2024-08-12T09:52:42;true;bah cool repeatedly;5;5
6;2024-08-13T01:10:10;true;pipeline slop over;6;6
7;2024-08-12T23:56:07;true;zowie;7;7
8;2024-08-13T04:35:59;true;too anxiously;8;8
9;2024-08-12T16:05:33;false;supposing bean;9;9
10;2024-08-12T17:15:27;true;circa boohoo;10;10
