id;data_adesao;checked;url_doc;empresa_id;plano_contabil_id
1;2024-08-12T16:36:41;false;scotch;1;1
2;2024-08-12T19:28:50;true;psst yahoo;2;2
3;2024-08-12T22:47:50;true;deafen;3;3
4;2024-08-12T09:53:21;false;intrude despite underneath;4;4
5;2024-08-12T19:09:11;false;extra-large angelic double;5;5
6;2024-08-12T15:11:12;true;while reassuringly;6;6
7;2024-08-12T20:28:52;false;masculine;7;7
8;2024-08-12T21:45:59;false;versus;8;8
9;2024-08-12T07:44:20;false;drill relief;9;9
10;2024-08-12T13:25:16;true;prate after;10;10
