id;titulo;descricao;url_documento_fonte;documento;disponivel;data_criacao
1;but supposing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-28T15:12:12
2;fool;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-28T10:45:06
3;daily vastly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-28T01:03:35
4;well-off;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-28T01:49:45
5;for;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-28T15:42:24
6;high-level evening-wear unless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-27T20:25:30
7;terribly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-28T03:28:42
8;french rudely;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-28T05:43:14
9;blah because;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-28T14:48:24
10;circulate gladly till;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-28T09:26:23
