id;nome;descricao;situacao
1;while alloy;../fake-data/blob/hipster.txt;EXCLUIDO
2;provided outlast hassock;../fake-data/blob/hipster.txt;BLOQUEADO
3;more advanced absentmindedly;../fake-data/blob/hipster.txt;INATIVO
4;meh pro;../fake-data/blob/hipster.txt;EXCLUIDO
5;apropos atop aboard;../fake-data/blob/hipster.txt;INATIVO
6;wheeze whenever gah;../fake-data/blob/hipster.txt;BLOQUEADO
7;bumpy oof yum;../fake-data/blob/hipster.txt;BLOQUEADO
8;unaware;../fake-data/blob/hipster.txt;INATIVO
9;atop;../fake-data/blob/hipster.txt;INATIVO
10;subpoena bah debate;../fake-data/blob/hipster.txt;ATIVO
